from,to,source,target
6,63,service14,ash-wan-sr3.nw-am.broadcom.net_Gi0/0/5
12,20,service10,wac-wan-sr1.nw-am.broadcom.net_Gi0/0/0
10,148,service8,brm-wan-sr1.nw-am.broadcom.net_Gi0/0/0
8,165,service5,lc-lvn-1412.lvn.broadcom.net
15,18,service13,sjs-dns-1.broadcom.net
12,1,service10,lc-sj1-4285.lvn.broadcom.net
6,88,service14,lc-sj1-4505.lvn.broadcom.net
2,96,service4,mec-wan-sr1.nw-em.broadcom.net_Gi0/0/0
1,84,service1,wnpdvweb01
7,55,service15,ren-dctor-p4r01c04sw01
10,175,service8,lc-irv-2922.lvn.broadcom.net
4,43,service9,bbm-wan-asesr1.nw-ap.broadcom.net_Gi0/0
15,33,service13,wpdvisscmbedb6
13,13,service11,wsgpvmjmp01
11,81,service7,wpdvwins01
12,149,service10,bcatestdev.lvn.broadcom.net
10,19,service8,ren-wan-sr2.nw-am.broadcom.net
1,167,service1,lc-sj1-6090.lvn.broadcom.net
0,91,service2,wnpvisstsap01
2,144,service4,tau-wan-sr1.nw-am.broadcom.net_Gi0/0/3
1,153,service1,lc-irv-3006.lvn.broadcom.net
4,49,service9,bji-wan-sr1.nw-ap.broadcom.net_Gi0/0/0
9,66,service16,lc-sj1-4832.lvn.broadcom.net
14,128,service12,wpdvlab04
9,122,service16,SC5TFAPPSW0102_ge-1/0/21
10,170,service8,lc-lvn-1612.lvn.broadcom.net
1,68,service1,sju-cas-stk-sw04.nw-am.broadcom.net
15,6,service13,lc-sj1-4009.lvn.broadcom.net
15,114,service13,sdg-cas-mdfas02.nw-am.broadcom.net
9,113,service16,wpdvwsd09
2,137,service4,ash-wan-sr3.nw-am.broadcom.net_Gi1/0/1
3,122,service3,SC5TFAPPSW0102_ge-1/0/21
13,17,service11,don-fab-sw3.nw-ap.broadcom.net
12,140,service10,oss-cent7.lvn.broadcom.net
2,31,service4,wnpvtsf05
2,37,service4,lc-lvn-1658.lvn.broadcom.net
1,22,service1,lc-lvn-1221.lvn.broadcom.net
7,143,service15,ren-dcobmgmt-p2br02c05sw04
9,70,service16,lnpvela02
2,47,service4,sju-ll2-lab133-bvt-b4-sw08
13,9,service11,wpdvpaysec01
5,14,service6,lc-blr-559.ibn.broadcom.net
5,129,service6,ihl-wan-sr2.nw-em.broadcom.net_Gi0/0/1
0,34,service2,wnpvtsf02
9,92,service16,lc-sj1-4513.lvn.broadcom.net
12,138,service10,wpdvsdi01
1,124,service1,tok-wan-symlab01.nw-ap.broadcom.net_Gi0/0/0
3,36,service3,ftc-wan-sr1.nw-am.broadcom.net_Gi0/0/0
9,159,service16,lc-sj1-4429.lvn.broadcom.net
