id,intervalPeriod,startTime,endTime,date
127,05:05-05:10,05:05,05:10,12-4-2021
128,11:05-11:10,11:05,11:10,12-4-2021
129,11:10-11:15,11:10,11:15,12-4-2021
130,10:25-10:30,10:25,10:30,12-4-2021
131,03:30-03:35,03:30,03:35,12-4-2021
132,07:35-07:40,07:35,07:40,12-4-2021
133,07:40-07:45,07:40,07:45,12-4-2021
134,20:35-20:40,20:35,20:40,12-4-2021
135,15:15-15:20,15:15,15:20,12-4-2021
136,02:45-02:50,02:45,02:50,12-4-2021
137,02:50-02:55,02:50,02:55,12-4-2021
138,11:55-12:00,11:55,12:00,12-4-2021
139,20:40-20:45,20:40,20:45,12-4-2021
140,16:00-16:05,16:00,16:05,12-4-2021
141,19:05-19:10,19:05,19:10,12-4-2021
142,22:15-22:20,22:15,22:20,12-4-2021
143,05:00-05:05,05:00,05:05,12-4-2021
144,04:35-04:40,04:35,04:40,12-4-2021
145,13:10-13:15,13:10,13:15,12-4-2021
146,13:55-14:00,13:55,14:00,12-4-2021
147,07:50-07:55,07:50,07:55,12-4-2021
148,18:10-18:15,18:10,18:15,12-4-2021
149,21:20-21:25,21:20,21:25,12-4-2021
150,14:05-14:10,14:05,14:10,12-4-2021
151,03:40-03:45,03:40,03:45,12-4-2021
152,18:55-19:00,18:55,19:00,12-4-2021
153,20:30-20:35,20:30,20:35,12-4-2021
154,16:50-16:55,16:50,16:55,12-4-2021
155,08:40-08:45,08:40,08:45,12-4-2021
156,04:10-04:15,04:10,04:15,12-4-2021
157,17:45-17:50,17:45,17:50,12-4-2021
158,00:00-00:05,00:00,00:05,12-4-2021
159,12:20-12:25,12:20,12:25,12-4-2021
160,09:35-09:40,09:35,09:40,12-4-2021
161,05:25-05:30,05:25,05:30,12-4-2021
162,13:35-13:40,13:35,13:40,12-4-2021
163,04:30-04:35,04:30,04:35,12-4-2021
164,19:00-19:05,19:00,19:05,12-4-2021
165,21:45-21:50,21:45,21:50,12-4-2021
166,18:15-18:20,18:15,18:20,12-4-2021
167,03:45-03:50,03:45,03:50,12-4-2021
168,08:45-08:50,08:45,08:50,12-4-2021
169,03:20-03:25,03:20,03:25,12-4-2021
170,00:25-00:30,00:25,00:30,12-4-2021
171,11:30-11:35,11:30,11:35,12-4-2021
172,05:20-05:25,05:20,05:25,12-4-2021
173,17:40-17:45,17:40,17:45,12-4-2021
174,12:45-12:50,12:45,12:50,12-4-2021
175,23:05-23:10,23:05,23:10,12-4-2021
176,09:30-09:35,09:30,09:35,12-4-2021
177,15:40-15:45,15:40,15:45,12-4-2021
178,13:30-13:35,13:30,13:35,12-4-2021
179,02:05-02:10,02:05,02:10,12-4-2021
180,02:30-02:35,02:30,02:35,12-4-2021
181,22:35-22:40,22:35,22:40,12-4-2021
182,06:55-07:00,06:55,07:00,12-4-2021
183,07:05-07:10,07:05,07:10,12-4-2021
184,11:35-11:40,11:35,11:40,12-4-2021
185,21:00-21:05,21:00,21:05,12-4-2021
186,06:10-06:15,06:10,06:15,12-4-2021
187,17:25-17:30,17:25,17:30,12-4-2021
188,20:55-21:00,20:55,21:00,12-4-2021
189,16:30-16:35,16:30,16:35,12-4-2021
190,12:40-12:45,12:40,12:45,12-4-2021
191,20:10-20:15,20:10,20:15,12-4-2021
192,01:15-01:20,01:15,01:20,12-4-2021
193,05:45-05:50,05:45,05:50,12-4-2021
194,01:40-01:45,01:40,01:45,12-4-2021
195,09:50-09:55,09:50,09:55,12-4-2021
196,15:45-15:50,15:45,15:50,12-4-2021
197,13:15-13:20,13:15,13:20,12-4-2021
198,04:50-04:55,04:50,04:55,12-4-2021
199,07:00-07:05,07:00,07:05,12-4-2021
200,03:00-03:05,03:00,03:05,12-4-2021
201,14:00-14:05,14:00,14:05,12-4-2021
202,06:15-06:20,06:15,06:20,12-4-2021
203,17:20-17:25,17:20,17:25,12-4-2021
204,23:25-23:30,23:25,23:30,12-4-2021
205,11:50-11:55,11:50,11:55,12-4-2021
206,23:30-23:35,23:30,23:35,12-4-2021
207,00:45-00:50,00:45,00:50,12-4-2021
208,00:50-00:55,00:50,00:55,12-4-2021
209,16:35-16:40,16:35,16:40,12-4-2021
210,12:25-12:30,12:25,12:30,12-4-2021
211,05:40-05:45,05:40,05:45,12-4-2021
212,10:35-10:40,10:35,10:40,12-4-2021
213,02:10-02:15,02:10,02:15,12-4-2021
214,08:05-08:10,08:05,08:10,12-4-2021
215,11:15-11:20,11:15,11:20,12-4-2021
216,11:00-11:05,11:00,11:05,12-4-2021
217,02:55-03:00,02:55,03:00,12-4-2021
218,10:20-10:25,10:20,10:25,12-4-2021
219,07:10-07:15,07:10,07:15,12-4-2021
220,07:55-08:00,07:55,08:00,12-4-2021
221,07:25-07:30,07:25,07:30,12-4-2021
222,05:50-05:55,05:50,05:55,12-4-2021
223,19:40-19:45,19:40,19:45,12-4-2021
224,23:35-23:40,23:35,23:40,12-4-2021
225,06:30-06:35,06:30,06:35,12-4-2021
226,15:10-15:15,15:10,15:15,12-4-2021
227,06:45-06:50,06:45,06:50,12-4-2021
228,17:05-17:10,17:05,17:10,12-4-2021
229,20:05-20:10,20:05,20:10,12-4-2021
230,16:25-16:30,16:25,16:30,12-4-2021
231,16:05-16:10,16:05,16:10,12-4-2021
232,01:35-01:40,01:35,01:40,12-4-2021
233,16:55-17:00,16:55,17:00,12-4-2021
234,16:10-16:15,16:10,16:15,12-4-2021
235,15:30-15:35,15:30,15:35,12-4-2021
236,21:50-21:55,21:50,21:55,12-4-2021
237,09:55-10:00,09:55,10:00,12-4-2021
238,02:35-02:40,02:35,02:40,12-4-2021
239,22:30-22:35,22:30,22:35,12-4-2021
240,15:25-15:30,15:25,15:30,12-4-2021
241,14:50-14:55,14:50,14:55,12-4-2021
242,19:35-19:40,19:35,19:40,12-4-2021
243,03:15-03:20,03:15,03:20,12-4-2021
244,08:55-09:00,08:55,09:00,12-4-2021
245,00:30-00:35,00:30,00:35,12-4-2021
246,14:45-14:50,14:45,14:50,12-4-2021
247,23:10-23:15,23:10,23:15,12-4-2021
248,08:10-08:15,08:10,08:15,12-4-2021
249,01:55-02:00,01:55,02:00,12-4-2021
250,01:10-01:15,01:10,01:15,12-4-2021
251,12:50-12:55,12:50,12:55,12-4-2021
252,06:50-06:55,06:50,06:55,12-4-2021
253,11:20-11:25,11:20,11:25,12-4-2021
254,10:15-10:20,10:15,10:20,12-4-2021
255,14:25-14:30,14:25,14:30,12-4-2021
256,07:45-07:50,07:45,07:50,12-4-2021
257,10:40-10:45,10:40,10:45,12-4-2021
258,07:30-07:35,07:30,07:35,12-4-2021
259,03:35-03:40,03:35,03:40,12-4-2021
260,21:05-21:10,21:05,21:10,12-4-2021
261,15:05-15:10,15:05,15:10,12-4-2021
262,02:40-02:45,02:40,02:45,12-4-2021
263,20:50-20:55,20:50,20:55,12-4-2021
264,20:25-20:30,20:25,20:30,12-4-2021
265,12:00-12:05,12:00,12:05,12-4-2021
266,18:40-18:45,18:40,18:45,12-4-2021
267,22:10-22:15,22:10,22:15,12-4-2021
268,18:35-18:40,18:35,18:40,12-4-2021
269,22:05-22:10,22:05,22:10,12-4-2021
270,19:15-19:20,19:15,19:20,12-4-2021
271,21:30-21:35,21:30,21:35,12-4-2021
272,00:05-00:10,00:05,00:10,12-4-2021
273,15:55-16:00,15:55,16:00,12-4-2021
274,19:20-19:25,19:20,19:25,12-4-2021
275,21:25-21:30,21:25,21:30,12-4-2021
276,22:55-23:00,22:55,23:00,12-4-2021
277,09:05-09:10,09:05,09:10,12-4-2021
278,14:30-14:35,14:30,14:35,12-4-2021
279,00:55-01:00,00:55,01:00,12-4-2021
280,08:30-08:35,08:30,08:35,12-4-2021
281,08:25-08:30,08:25,08:30,12-4-2021
282,04:15-04:20,04:15,04:20,12-4-2021
283,00:10-00:15,00:10,00:15,12-4-2021
284,13:45-13:50,13:45,13:50,12-4-2021
285,13:50-13:55,13:50,13:55,12-4-2021
286,09:10-09:15,09:10,09:15,12-4-2021
