id,name
0,apdveapi02.broadcom.com
1,SC5TFFOSW1_Ethernet1/17
2,SC5TFFOSW1_Ethernet1/18
3,sju-ll2-lab133-bvt-a3-yellow-sw02
4,SC5TFFOSW2_Ethernet1/30
5,sju-ll2-lab133-bvt-a6-yellow-sw04
6,wpngvmrfs01
7,wsgpvmjmp01
8,sju-voice-vg01.nw-am.broadcom.net
9,wnpvalm02
10,lc-sj1-6201.lvn.broadcom.net
11,lc-sj1-6670.lvn.broadcom.net
12,lnpvd3dspdev01.sgn.broadcom.net
13,lc-lvn-1513.lvn.broadcom.net
14,dvtmysql-sin-01.sgn.broadcom.net
15,anpvpsc11.yis.broadcom.net
16,acc4-wan-sr3.nw-am.broadcom.net_Po60
17,txp-wan-sr1.nw-am.broadcom.net_Gi0/0/0
18,lc-irv-3591.lvn.broadcom.net
19,lc-lvn-0404.lvn.broadcom.net
20,ANPVHYCU01
21,ren-dctor-p4r02c02sw02
22,lc-lvn-1503.lvn.broadcom.net
23,wpdvdxim01
24,lc-lvn-0801.lvn.broadcom.net
25,acc-dcobmgmt-p5e9sw02.nw-am.broadcom.net
26,lc-sj1-5561.lvn.broadcom.net
27,lc-lvn-1508.lvn.broadcom.net
28,wpdvweb07
29,lnpvdsa01.sgn.broadcom.net
30,wnpvisstsrp02
31,lcs11-18.lvn.broadcom.net
32,ash-wan-sr3.nw-am.broadcom.net_Gi0/0/4
33,lnpvincsprk01.sgn.broadcom.net
34,wnpvndm01
35,ren-dcobmgmt-p1ar02c05sw04
36,wnpvndm03
37,lnpvbstms03
38,sju-cas-stk-sw04.nw-am.broadcom.net
39,lc-lvn-1498.lvn.broadcom.net
40,wathvntxf02.wat.broadcom.net
41,lc-hyd-022.ibn.broadcom.net
42,sju-cas-stk-sw12.nw-am.broadcom.net
43,wpdvissbeap3
44,png-cas-gdhssw1.nw-ap.broadcom.net
45,sju-cas-sw02.nw-am.broadcom.net
46,wpdvissbeap1
47,sju-cas-stk-sw10.nw-am.broadcom.net
48,lc-sj1-5902.lvn.broadcom.net
49,wnpvpsar01.sgn.broadcom.net
50,wpdvwsd16
51,wpdvisscmbeap9
52,wpdvwsd17
53,lnpv3dswymqa01.sgn.broadcom.net
54,lc-sj1-4200.lvn.broadcom.net
55,ihl-wan-sr2.nw-em.broadcom.net_Tu14240
56,wpdvisscmbeap1
57,LNPVDSA01
58,APDVCPPM3
59,lc-ibn-1040.ibn.broadcom.net
60,sha-wan-sr1.nw-ap.broadcom.net_Gi0/1/0
61,lgh-wan-sr1.nw-ap.broadcom.net_Gi0/0/0
62,LPDVSUMFT01
63,wpdvwsd06
64,apdvqualys08.ash.broadcom.net
65,wpdvwsd08
66,tok-wan-sr1.nw-ap.broadcom.net_Gi0/3/0
67,lhostbpl01
68,wpdvisscmbejb8
69,lc-lvn-1089.lvn.broadcom.net
70,gerrit-irv-1.lvn.broadcom.net
71,wpdvisscmbejb9
